Os vingadores,filme
O exorcismo de Emily Rose,filme
O auto da compadecida,filme
borboleta,animal
corsa,carro
celta,carro
Animais Fantasticos Os Crimes de Grindelwald,filme
O homem aranha,filme
gato,animal
cachorro,animal
ser humano,animal
zeus,mitologia
thor,mitologia
athenas,mitologia
Ze Ramalho,cantor(a)
Zeca Baleiro,cantor(a)
adedonha,brincadeira infantil
mochila,objeto
edema,doença
gripe,doença
ebola,doença
celula,parte do corpo humano
celular,objeto
pele,parte do corpo humano
anitta,cantor(a)
computador,objeto
mesa,objeto
dicionario,objeto
oculos,objeto
dedo,parte do corpo humano
orelha,parte do corpo humano
pneumoultramicroscopicossilicovulcanoconiotico,doença
Friedrich Nietzsche,filosofo
acido ribonuclieco,parte do corpo humano
acido desoxirribonucleico,parte do corpo humano
Karol Conka,cantor(a)
